,Descrição,UF,count,min,max,mean,std
26617,Informação protegida por sigilo nos termos da legislação vigente,AC,757,0.0377333333333333,2800000.0,31858.968792493004,185320.81242390646
4972,BANDEIRA EM GERAL,RJ,677,34.0,3689.0,134.4738552437223,157.03308084867078
14075,CONEXÃO HIDRÁULICA,MG,602,0.36,123.01,8.178222591362125,12.764186117866476
42977,SISTEMA FIXAÇÃO COLUNA VERTEBRAL VIA POSTERIOR,RJ,600,210.0,33268.73,4820.0873833333335,5691.706527359405
25590,HOMOGENEIZADOR,MG,572,5.0,80000.0,1630.5888636363636,5062.873996717315
13615,COMPRESSOR REFRIGERAÇÃO,RS,548,80.0,4500.0,688.0796897810219,851.2139011224331
13614,COMPRESSOR REFRIGERAÇÃO,RN,548,80.0,5457.17,701.4243248175183,879.5441867236459
18848,EQUIPAMENTO DE OFICINA MECÂNICA,RN,541,0.676,425992.35,12773.598410351202,42915.048735532946
22004,FIO DE SUTURA,RJ,538,1.19,4350.0,33.08138166047088,271.96102054487784
18851,EQUIPAMENTO DE OFICINA MECÂNICA,RS,508,1.5,425992.35,13581.337962598425,44168.45393294949
36835,PLACA ORTOPÉDICA P/ MINI E MICRO FRAGMENTOS,RJ,489,198.55,81000.0,8012.429284253579,15363.79994967433
39769,REAGENTE PARA DIAGNÓSTICO CLÍNICO 5,RJ,475,0.03,25012.91,213.97890105263158,1638.2600832047672
23547,FRUTA,RS,408,1.0,58.95,9.007720588235294,8.622883044001773
14079,CONEXÃO HIDRÁULICA,PE,402,0.16,450.0,9.843009950248756,26.616924942813597
42453,SERVICO AUXILIAR DE LABORATORIO / ODONTOLOGO,RJ,352,5.0,1026.0,88.66982954545455,137.31363268983156
36760,PLACA IDENTIFICAÇÃO,SE,351,25.0,2500.0,146.83982905982904,270.6879156666782
27265,LEGUME IN NATURA,RS,338,1.17,46.78,6.796479289940828,6.042946917616001
14082,CONEXÃO HIDRÁULICA,RJ,330,0.41,2500.0,50.74748161616162,197.4216005857127
27261,LEGUME IN NATURA,RJ,329,0.56,50.0,4.486595744680851,4.787998903264781
23544,FRUTA,RN,327,0.84,65.85000000000001,7.762599324668706,7.366117299252398
47916,VÁLVULA DE ESFERA,AC,326,0.58,401185.27,12110.162147239264,36727.62562357336
23543,FRUTA,RJ,313,1.0,56.77,5.848878594249202,6.585206674566248
39772,REAGENTE PARA DIAGNÓSTICO CLÍNICO 5,RS,309,0.15,2248.96,103.17799541882067,237.6222318672671
39518,RAÇÃO ANIMAL,RS,308,0.15,3900.95,136.71974025974026,306.72611931540916
39516,RAÇÃO ANIMAL,RN,302,0.15,3900.95,143.90127457163882,312.30969551419093
27253,LEGUME IN NATURA,MG,301,0.83,299.0,7.520412513842746,20.1484082690426
473,ACESSO A INTERNET VIA CABO,RS,296,110.0,8639.82,315.77996283783784,575.2287244946579
9904,CARNE BOVINA IN NATURA,RJ,292,0.1581999999999999,74.1,26.33293904109589,11.314159952895652
28087,LIVRO C. SOC/ESTAT/POLÍT/ECON/COMÉRCIO E DIREITO,BA,290,11.633333333333333,392.215,66.9441264367816,46.36796002646513
27262,LEGUME IN NATURA,RN,286,1.18,46.07,6.267062645687646,5.831621521478423
22008,FIO DE SUTURA,RS,275,1.3099999999999998,292.0,10.603832070707071,26.204276005603408
27259,LEGUME IN NATURA,PI,273,1.75,160.0,7.995457875457876,10.919846807224713
23535,FRUTA,MG,270,1.25,56.5,8.342018518518518,7.635514147768377
42968,SISTEMA FIXAÇÃO COLUNA VERTEBRAL,RJ,266,210.0,25296.79,2940.3174060150377,4605.93341104633
14086,CONEXÃO HIDRÁULICA,RS,259,0.0001,85.58,6.1613903474903475,8.397242041553964
35898,PEÇAS / ACESSÓRIOS ARMAMENTO,RJ,258,0.73,35466.66,991.163527131783,3581.3564401335366
26882,LABORATORIO - ANALISE MICROBIOLOGICA,CE,253,10.0,1788.0,104.29802371541503,182.45610857949853
16974,DIETA ENTERAL,RJ,248,0.0287,367.18,39.21549435483871,56.03174935566008
13749,CONDIMENTO,RJ,243,0.75,464.8,13.86349794238683,31.617365489929046
13753,CONDIMENTO,RS,243,0.65,190.0,15.44082304526749,21.686757111899915
35655,PEÇA / ACESSÓRIO DISJUNTOR,RS,242,0.9,19013.38,446.0109090909091,1726.7769658569416
3246,APOIO E SUPORTE PARA TUBO E TUBULACAO,BA,241,0.42,282.0,18.79323651452282,35.384808770788126
23541,FRUTA,PI,239,1.2,85.0,9.673389121338912,11.8113423188543
35653,PEÇA / ACESSÓRIO DISJUNTOR,RN,239,0.9,19013.38,451.34485355648536,1736.9623113840953
46727,TUBO ENDOTRAQUEAL,RJ,235,1.5,137.5,11.776037234042553,20.004229528603755
7179,BROCA ALTA ROTAÇÃO,RJ,234,1.2999999999999998,50.0,4.385512820512821,5.235277492414486
39770,REAGENTE PARA DIAGNÓSTICO CLÍNICO 5,RN,230,0.18,573.0,23.149002540937325,69.16741507441286
