,Objeto,Descrição,UF,Nome Órgão Superior,count,min,max,mean,std
1,Informação protegida por sigilo nos termos da legislação vigente,Informação protegida por sigilo nos termos da legislação vigente,AC,Ministério da Justiça e Segurança Pública,617,0.0377333333333333,2348000.0,30841.473423908767,170189.655877386
11156,Objeto: Pregão Eletrônico -  Aquisic a o de bandeiras e insi gnias para a Subdiretoria de Abastecimento da Aerona utica (SDAB).,BANDEIRA EM GERAL,RJ,Ministério da Defesa,581,34.0,1180.0,118.00972461273665,67.58990009680768
71641,"Objeto: Pregão Eletrônico -  Aquisição futura de materiais de consumo químico, farmacológico e matéria-prima.",HOMOGENEIZADOR,MG,Ministério da Educação,406,5.0,6270.0,305.13556650246306,977.4746848944128
76757,Objeto: Pregão Eletrônico -  Contratação de Empresa especializada para a prestação de Serviço de Apoio Diagnóstico em dois lotes nas Áreas de Patologia Clínica e Anatomia Patológica com a realização externa de exames.,SERVICO AUXILIAR DE LABORATORIO / ODONTOLOGO,RJ,Ministério da Saúde,352,5.0,1026.0,88.66982954545455,137.31363268983156
99954,"Objeto: Pregão Eletrônico -  REGISTRO DE PREÇOS, pelo prazo de 12 (doze) meses, para eventual e futura aquisição de materiais de SINALIZAÇÃO INTERNA E EXTERNA (Placas, bandejas, totens, testeiras, Adesivos, Mapa Diretório, Bolsas e Painéis de Comunicação Interna), com FORNECIMENTO e INSTALAÇÃO desses materiais, conforme Manual de Sinalização dos Hospitais Universitários da Rede EBSERH   Versão 6.0, nas dependências do Hospital Universitário Monsenhor João Batista de Carvalho Daltro   HUL.",PLACA IDENTIFICAÇÃO,SE,Ministério da Educação,351,25.0,2500.0,146.83982905982904,270.6879156666782
76076,"Objeto: Pregão Eletrônico -  Composição de Ata de Registro de Preços para a aquisição de peças sobressalentes para as válvulas, atuadores e posicionadores eletropneumáticos utilizados nos sistemas da GT/HRSG/ST da UTE Mauá 3, do Departamento de O&M do Complexo Mauá de Geração Térmica (DPGM), pertencente a Amazonas Geração e Transmissão de Energia S/A, Município de Manaus, Estado do Amazonas por meio do Sistema de Registro de Preços.",VÁLVULA DE ESFERA,AC,Ministério de Minas e Energia,326,0.58,401185.27,12110.162147239264,36727.62562357336
114585,Objeto: Pregão Eletrônico -  Servic o de manutenc a o de bens imo veis. PAG 67222.006291/2021-49.,MANUTENCAO / REFORMA PREDIAL,PE,Ministério da Defesa,263,0.41,39306.92,680.0845627376425,3653.037267981368
114586,Objeto: Pregão Eletrônico -  Servic o de manutenc a o de bens imo veis. PAG 67222.006291/2021-49.,MANUTENCAO / REFORMA PREDIAL,RN,Ministério da Defesa,263,0.41,39306.92,680.0845627376425,3653.037267981368
103118,Objeto: Pregão Eletrônico -  Registro de Preços para aquisição de Produtos Agropecuários e Veterinários destinados ao Colégio Politécnico da UFSM.,RAÇÃO ANIMAL,RN,Ministério da Educação,256,0.15,3900.95,136.2303125,333.3734869186423
103119,Objeto: Pregão Eletrônico -  Registro de Preços para aquisição de Produtos Agropecuários e Veterinários destinados ao Colégio Politécnico da UFSM.,RAÇÃO ANIMAL,RS,Ministério da Educação,256,0.15,3900.95,136.2303125,333.3734869186423
79939,Objeto: Pregão Eletrônico -  Contratação de serviços de laboratórios de análises clínicas  e clínicas para realização de exames diagnósticos em pacientes do Hospital Universitário Walter Cantídio e Maternidade Escola Assis Chateaubriand conforme legislação vigente.,LABORATORIO - ANALISE MICROBIOLOGICA,CE,Ministério da Educação,253,10.0,1788.0,104.29802371541503,182.45610857949853
107347,"Objeto: Pregão Eletrônico -  Registro de preços de para eventual aquisição de MATERIAIS HIDRÁULICOS para o 6º Batalhão de Polícia do Exército e unidades gestoras participantes que integram o GCAL da 6ª RM, conforme condições, quantidades, exigências e estimativas estabelecidas no edital.",APOIO E SUPORTE PARA TUBO E TUBULACAO,BA,Ministério da Defesa,241,0.42,282.0,18.79323651452282,35.384808770788126
99985,Objeto: Pregão Eletrônico -  ReGISTRO DE PREÇOS PARA  FORNECIMENTO E INSTALAÇÃO DE MATERIAIS ELÉTRICOS EM REDES DE BAIXA  TENSÃO PARA OS CAMPI DA UFSM EM SANTA MARIA E SILVEIRA MARTINS.,PEÇA / ACESSÓRIO DISJUNTOR,RS,Ministério da Educação,239,0.9,19013.38,451.34485355648536,1736.9623113840953
99984,Objeto: Pregão Eletrônico -  ReGISTRO DE PREÇOS PARA  FORNECIMENTO E INSTALAÇÃO DE MATERIAIS ELÉTRICOS EM REDES DE BAIXA  TENSÃO PARA OS CAMPI DA UFSM EM SANTA MARIA E SILVEIRA MARTINS.,PEÇA / ACESSÓRIO DISJUNTOR,RN,Ministério da Educação,239,0.9,19013.38,451.34485355648536,1736.9623113840953
