,Código UG_x,Código Modalidade Compra_x,Código Órgão_x,Descrição,Quantidade Item,Código Vencedor,Código Órgão Superior,Município,data,Total,valor_individual,UF
339,782801,6,52131,FIO DE SUTURA,5,14683163000120,52000,JUIZ DE FORA,2022-03-23,300.0,64.11,MG
340,782801,6,52131,FIO DE SUTURA,5,14683163000120,52000,RIO DE JANEIRO,2022-05-27,135.0,64.11,RJ
341,782801,6,52131,FIO DE SUTURA,5,14683163000120,52000,JUIZ DE FORA,2022-03-23,300.0,66.09,MG
342,782801,6,52131,FIO DE SUTURA,5,14683163000120,52000,RIO DE JANEIRO,2022-05-27,135.0,66.09,RJ
343,782801,6,52131,FIO DE SUTURA,1,14683163000120,52000,JUIZ DE FORA,2022-03-23,300.0,51.26,MG
344,782801,6,52131,FIO DE SUTURA,1,14683163000120,52000,RIO DE JANEIRO,2022-05-27,135.0,51.26,RJ
359,782801,6,52131,FIO DE SUTURA,5,14683163000120,52000,JUIZ DE FORA,2022-03-23,300.0,66.01,MG
360,782801,6,52131,FIO DE SUTURA,5,14683163000120,52000,RIO DE JANEIRO,2022-05-27,135.0,66.01,RJ
651,785350,6,52131,LEGUME IN NATURA,120,14169702000108,53000,RECIFE,2021-12-29,0.0,3.8,PE
652,785350,6,52131,FRUTA,30,14169702000108,53000,RECIFE,2021-12-29,0.0,4.64,PE
654,785350,6,52131,FRUTA,40,14169702000108,53000,RECIFE,2021-12-29,0.0,2.5,PE
657,160376,6,52121,LEGUME IN NATURA,300,00542607018,53000,RECIFE,2021-12-29,0.0,5.9,PE
661,160376,6,52121,LEGUME IN NATURA,400,97604976034,53000,RECIFE,2021-12-17,4200.0,5.9,PE
681,786800,6,52131,FRUTA,180,58018158134,52000,VILA VELHA,2022-05-18,781.93,3.0,ES
853,160376,6,52121,FRUTA,1200,91507189087,52000,MANAUS,2021-12-23,12300.0,2.0,AM
860,160365,6,52121,FRUTA,50,59858222068,52000,MANAUS,2021-12-23,12300.0,4.19,AM
2066,155014,-99,26443,FRUTA,1170,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,6.45,RN
2067,155014,-99,26443,FRUTA,1170,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,6.45,PB
2068,155014,-99,26443,FRUTA,1170,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,6.45,PE
2069,155014,-99,26443,FRUTA,10470,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.5,RN
2070,155014,-99,26443,FRUTA,10470,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.5,PB
2071,155014,-99,26443,FRUTA,10470,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.5,PE
2072,155014,-99,26443,LEGUME IN NATURA,250,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,3.2,RN
2073,155014,-99,26443,LEGUME IN NATURA,250,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,3.2,PB
2074,155014,-99,26443,LEGUME IN NATURA,250,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,3.2,PE
2078,155014,-99,26443,FRUTA,100,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,5.25,RN
2079,155014,-99,26443,FRUTA,100,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,5.25,PB
2080,155014,-99,26443,FRUTA,100,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,5.25,PE
2084,155014,-99,26443,FRUTA,300,24114994000135,26000,SANTA CRUZ,2022-02-02,334555.65,3.2,RN
2085,155014,-99,26443,FRUTA,300,24114994000135,26000,SANTA CRUZ,2022-02-02,334555.65,3.2,PB
2086,155014,-99,26443,FRUTA,300,24114994000135,26000,SANTA CRUZ,2022-02-02,334555.65,3.2,PE
2087,155014,-99,26443,FRUTA,100,24114994000135,26000,SANTA CRUZ,2022-02-02,334555.65,2.6,RN
2088,155014,-99,26443,FRUTA,100,24114994000135,26000,SANTA CRUZ,2022-02-02,334555.65,2.6,PB
2089,155014,-99,26443,FRUTA,100,24114994000135,26000,SANTA CRUZ,2022-02-02,334555.65,2.6,PE
2090,155014,-99,26443,FRUTA,7200,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.83,RN
2091,155014,-99,26443,FRUTA,7200,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.83,PB
2092,155014,-99,26443,FRUTA,7200,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.83,PE
2093,155014,-99,26443,FRUTA,6800,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.74,RN
2094,155014,-99,26443,FRUTA,6800,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.74,PB
2095,155014,-99,26443,FRUTA,6800,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,1.74,PE
2096,155014,-99,26443,LEGUME IN NATURA,8800,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.47,RN
2097,155014,-99,26443,LEGUME IN NATURA,8800,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.47,PB
2098,155014,-99,26443,LEGUME IN NATURA,8800,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,1.47,PE
2099,155014,-99,26443,LEGUME IN NATURA,12520,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,2.34,RN
2100,155014,-99,26443,LEGUME IN NATURA,12520,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,2.34,PB
2101,155014,-99,26443,LEGUME IN NATURA,12520,16904514000101,26000,SANTA CRUZ,2022-02-02,334555.65,2.34,PE
2105,155014,-99,26443,LEGUME IN NATURA,276,30386911000160,26000,SANTA CRUZ,2022-02-02,334555.65,2.75,RN
